,belongs_to_collection,budget_processed,budget,genre_rank,num_genres,has_homepage,originally_english,topStudio,numTopStudios,num_studios,studioRank,num_production_countries,topCountry,countryRank,usa_produced,1960s,1970s,1980s,1990s,2000s,2010s,mondayRelease,tuesdayRelease,wednesdayRelease,thursdayRelease,fridayRelease,saturdayRelease,sundayRelease,Winter,Fall,Spring,Summer,runtime_processed,spoken_english,num_languages,has_tagline,num_keywords,numTopKeywords,keywordRank,cast_num,topLeadActor,numTopActors,actorRanks,topActorRank,crew_num,topLeadDirector,numTopDirectors,directorsRank,topLeadExecProd,numTopExecProd,execProdRank,topLeadProducer,numTopProducers,producersRank,topLeadComposer,numTopComposers,composersRank,topLeadDirectorPhoto,numTopDirectorsPhoto,directorsPhotoRank,topLeadEditor,numTopEditors,editorsRank,budget_to_year_ratio,runtime_to_year_ratio,inflationBudget,popularity,popularity_year_ratio,log_revenue,revenue
23,0,17011,0,6.333333333,3,1,1,0,0,3,133.3333333,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,92,1,1,1,0,0,400,19,0,0,725.7368421,337,10,0,0,379,0,0,606,0,0,800.5,0,0,40.5,0,0,363,0,0,681,0.004206353,0.045748384,0,1.323333,0.068718193,9.741674256,17011
24,0,3586142.25,0,8.5,2,1,1,0,0,2,515.5,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,87,1,3,1,3,0,133.3333333,13,0,0,599,337,10,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.891180459,0.04336989,0,7.434577,0.432217685,15.41443702,4947717
25,0,38059540.25,0,9,4,0,1,0,0,4,128.25,2,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,95,1,1,1,0,0,400,15,0,0,834.5333333,337,14,0,0,379,0,0,606,0,0,523.3333333,0,0,81,0,0,363,0,0,100,9.591463306,0.047690763,0,1.252367,0.062746899,15.94415099,8403433
26,0,10000000,10000000,7.5,4,0,1,0,0,4,166.75,1,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,110,1,1,1,4,1,11.5,6,0,0,3821.833333,178,18,0,0,379,0,0,303,0,0,622,0,0,81,0,0,130,0,0,405,2.507516909,0.055082624,14860000,4.305735,0.243213016,16.44272164,13835130
27,0,11000000,11000000,8,3,0,1,0,0,3,133.3333333,2,1,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,93,1,1,1,3,2,31.66666667,24,1,0,661.8333333,6,15,0,0,360,0,0,606,0,0,320.2,0,0,81,0,0,193,0,0,681,2.714595566,0.046199702,13178000,10.841891,0.557722912,15.87564198,7847000
28,0,6000000,6000000,17,1,0,1,0,0,4,199.75,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,84,1,2,1,6,0,66.66666667,33,0,0,519.5757576,337,18,0,0,379,0,0,303,0,0,200.125,0,0,81,0,0,363,0,0,681,1.521222576,0.042296073,10104000,6.759181,0.48321038,15.58189205,5849647
29,0,45000000,45000000,11.75,4,0,1,0,0,1,242,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,89,1,1,1,4,3,37.5,11,0,0,1064.454545,54,8,0,0,191,0,0,606,0,0,729,1,1,20,0,1,32,0,0,389,11.22753371,0.044455544,62820000,7.81862,0.419537479,18.36871106,94935764
30,0,13000000,13000000,7.5,2,0,0,0,0,8,269.25,1,0,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,112,1,2,1,7,2,7.428571429,32,0,0,17.875,337,34,0,0,75.8,0,0,606,0,0,533.6666667,0,0,81,0,0,363,0,0,340.5,3.214542789,0.055693685,16042000,16.086919,0.835363436,19.87107808,426480871
31,0,20997011.27,0,8,3,1,0,0,0,15,82.86666667,5,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,117,0,1,0,15,2,7.133333333,14,0,0,911.3571429,337,18,0,0,379,0,0,202,0,0,200.125,0,0,81,0,0,363,0,0,340.5,5.223104649,0.058354115,0,5.69586,0.310669853,17.39902952,36000000
32,0,90000000,90000000,16,3,1,1,1,0,7,61,1,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,106,1,1,1,4,2,26.25,22,1,0,366.0909091,10,92,0,0,379,0,0,606,0,1,151.1111111,0,0,81,0,1,71,0,1,26.83333333,22.16625926,0.052605459,104580000,13.412445,0.67105057,18.80551388,146936910
33,1,123059,0,7,1,0,1,0,0,3,133.3333333,5,1,4.6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,125,1,7,1,4,1,2.75,31,0,0,251.1935484,337,59,0,0,12.63333333,0,0,606,0,0,177.8888889,0,0,40.5,0,0,363,0,0,681,0.030338524,0.062065541,0,8.254856,0.342070332,11.72042732,123059
34,1,140000000,140000000,9.5,4,0,1,0,0,1,219,1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,91,1,5,1,1,0,400,18,0,0,464.6666667,337,18,0,1,77,0,0,606,0,0,472,0,1,34,0,0,363,0,0,213,34.75628027,0.045341305,182840000,9.718111,0.504318199,19.36855632,258022233
35,0,30000000,30000000,9.333333333,3,1,1,0,0,5,451,1,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,94,1,3,1,1,0,400,14,0,0,1117.857143,153,33,0,0,285,0,0,319.25,0,0,463.375,0,1,61,0,0,183,0,0,78,7.410803568,0.046719682,36480000,8.234382,0.430633023,17.51300745,40346186
36,0,27578144.5,0,9.5,2,0,1,0,0,3,327,3,0,8.666666667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,105,1,1,1,14,6,16.71428571,14,0,0,782.7142857,171,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,6.894536125,0.0525,0,2.100499,0.108322499,11.92873687,151559
37,0,50000000,50000000,10.75,4,0,1,0,0,4,422.5,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,127,1,3,1,8,2,16.125,14,0,0,910.8571429,101,13,0,1,75,0,1,34.5,0,0,309.25,1,1,12,0,0,118,0,1,241.3333333,12.56273516,0.063659148,76100000,13.676444,0.793960909,19.0617952,189859560
38,0,12000000,0,8,1,1,1,0,0,0,400,0,0,100,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,90,1,3,1,0,0,400,5,0,0,1557.4,337,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,2.961376981,0.044709389,0,0.32926,0.016937622,11.43064108,92100
39,0,3800000,3800000,7.5,2,0,1,0,0,2,198.5,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,123,1,3,0,5,1,13.2,14,0,0,779.2857143,253,12,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,289,0,0,227,0.891134966,0.059564165,995600,3.055936,0.596025271,9.607370001,14873
40,1,163000,0,7.5,2,1,1,0,0,1,400,1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,118,1,1,1,2,1,33.5,6,0,0,1297.833333,337,1,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.040506596,0.058823529,0,2.941626,0.171014811,12.00151161,163000
41,0,3000000,3000000,5.5,2,0,1,0,0,2,133.5,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,126,1,1,1,12,3,5.666666667,32,0,0,498.625,259,27,0,0,189.5,0,0,606,0,0,338,0,1,34,0,0,151,0,0,681,0.702166817,0.06095791,678000,9.718713,1.560545659,16.60161836,16217773
42,0,25000000,25000000,10,1,0,1,0,0,2,351.5,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,108,1,2,1,10,5,9.4,11,0,0,1084,242,12,0,0,379,0,0,606,0,0,307.6666667,0,0,81,0,0,203,0,0,212,6.25,0.054,35800000,2.971999,0.153265656,17.00856683,24362772
43,0,6000000,6000000,5,1,0,1,0,0,3,259.3333333,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,92,1,1,1,5,2,24.8,32,0,0,500.40625,166,12,0,0,379,0,0,606,0,0,268,0,0,81,0,0,363,0,0,681,1.47921846,0.045680238,7080000,9.383088,0.388822776,13.8362167,1020921
44,0,15000000,15000000,9.5,2,1,1,0,0,3,88,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,88,1,1,1,6,3,25.5,10,0,0,1260.7,337,12,0,0,379,0,0,606,0,0,200.75,0,0,81,0,0,363,0,0,681,3.731320079,0.043890274,20130000,5.615303,0.306276025,17.66937548,47175038
45,0,3906840,3906840,7.8,5,0,0,0,0,2,832,1,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,95,0,2,1,11,6,26.72727273,15,0,0,474.6,337,7,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,309,0,0,681,0.967978591,0.047287208,4961686.8,2.382068,0.118494599,15.27412581,4300000
46,1,80000000,80000000,16,4,1,1,1,2,2,23,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,91,1,1,1,11,1,36.36363636,42,1,1,167.3809524,5,10,1,1,11,0,0,606,1,1,45,1,1,7,0,0,363,0,0,681,19.88053785,0.045363908,105920000,16.646029,0.967736043,20.3091748,660940780
47,0,44000000,44000000,6,4,1,1,0,0,3,410,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,167,1,2,1,8,2,20.625,18,0,0,651.6666667,239,76,0,1,45.5,0,0,209.3333333,0,0,328.1,0,1,65,0,1,69,0,1,80.4,10.83683786,0.082878412,51128000,20.328822,1.017090291,18.86382768,155760117
48,0,6861102,0,7.5,2,0,1,0,0,1,790,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94,1,1,0,8,2,21.125,44,0,0,174,257,31,0,0,189.5,0,0,606,0,0,776,0,0,81,0,0,280,0,0,681,1.686483433,0.046603867,0,8.984386,0.266567649,13.39078923,653951
49,1,38000000,38000000,14.25,4,0,1,0,0,1,242,1,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,118,1,1,1,5,2,31.4,17,0,0,638.1764706,58,15,0,0,379,0,0,272,0,0,283,0,0,81,0,0,246,0,0,398,9.55725753,0.059177533,58520000,8.105708,0.436705696,18.60300231,120000000
50,0,560000,560000,8,3,1,0,0,0,0,400,1,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,102,0,1,0,10,2,11,9,0,0,865.2222222,337,2,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.138886684,0.050796813,721280,1.572904,0.075966655,14.22097633,1500000
51,0,12000000,12000000,14.5,2,0,1,0,0,1,267,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,160,1,2,1,5,0,80,16,0,0,2224.1875,273,6,0,0,337,0,0,606,0,0,1601,0,1,77,0,0,338,0,0,555,2.814110419,0.07748184,3144000,4.473327,0.87247113,17.04763164,25333333
52,0,40356000,0,18.5,2,0,1,0,0,1,388,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,97,1,1,1,5,0,80,13,0,0,563.2307692,337,7,0,0,379,0,0,606,0,0,800.5,0,0,81,0,0,363,0,0,681,10.29384757,0.048989899,0,1.012665,0.070687074,16.21340592,11000000
53,0,27007143,0,10.66666667,3,1,1,0,0,1,396,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,98,1,1,1,1,0,400,9,0,0,2435.666667,337,4,0,0,211,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,6.833542249,0.049295775,0,5.410839,0.282599441,16.67854275,17514553
54,0,20000000,20000000,14,1,0,1,1,0,4,384.75,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,107,1,1,1,12,2,33.33333333,30,0,0,348.1333333,337,21,0,0,126,0,0,303,0,0,540.6,0,1,53,0,0,320,0,0,462,4.920949861,0.053075397,22880000,8.759801,0.396044364,17.64566318,46069568
55,0,27000000,0,8,3,0,1,0,0,1,409,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,95,1,1,1,7,1,12.85714286,9,0,0,2659,337,3,0,0,346,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,6.797499225,0.047666834,0,9.122718,0.500296111,17.41140266,36448200
56,0,687960,0,7.5,2,1,0,0,0,1,400,2,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,97,1,2,0,3,1,3.666666667,9,0,0,398.7777778,337,3,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.170452476,0.048282728,0,2.94798,0.146645565,13.87088755,1056938
57,1,125000000,125000000,11.66666667,3,0,1,0,0,2,330.5,2,1,3.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,125,1,1,1,9,3,10.11111111,13,0,0,1412.769231,78,103,0,0,44.75,1,2,58,0,0,48.66666667,1,1,19,0,1,97,0,0,87.66666667,31.34396136,0.062593891,185750000,17.038824,0.962452119,19.28865112,238207122
58,0,119563,0,10.5,2,1,1,0,0,1,400,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,95,1,1,0,9,5,29,5,0,0,1557.4,337,1,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.029653051,0.047310757,0,1.882446,0.090916626,11.69160707,119563
59,0,14000000,14000000,14.33333333,3,0,1,0,0,1,219,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,95,1,2,1,20,3,9.75,7,0,0,2378.285714,203,1,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,3.493010486,0.047452547,19544000,3.909079,0.209756344,17.05351945,25482931
60,1,150000000,150000000,13.66666667,3,1,1,1,2,3,45.66666667,5,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,144,1,2,1,10,0,10,78,1,0,65.21794872,16,126,0,1,8.3,0,0,606,1,2,61.5,0,0,81,0,1,46,0,0,8,37.27600847,0.071784646,198600000,23.065078,1.34091484,20.21084888,599045960
61,0,4000000,4000000,5,1,0,1,0,0,1,400,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,105,1,2,1,2,0,200,15,0,0,988.0666667,307,8,0,0,379,0,0,606,0,0,1601,0,0,81,0,0,363,0,0,681,0.946267165,0.051070039,1696000,1.801071,0.391079717,16.48273883,14400000
62,0,113935313.8,0,8.5,4,0,1,0,1,2,453,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,124,1,1,1,16,1,26.375,10,0,0,1640.9,123,48,0,0,251,0,0,606,0,0,412.5,0,0,81,0,1,42,0,0,203.4,28.54088166,0.062062062,0,6.381612,0.357262033,17.04363508,25232289
63,1,5000000,5000000,7.5,2,0,1,0,0,3,329.6666667,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100,1,1,1,10,3,36.5,16,0,0,439.0625,337,7,0,0,379,0,0,606,0,0,800.5,0,0,81,0,0,363,0,0,462,1.263864275,0.050276521,8150000,7.743144,0.500627905,16.45456796,14000000
64,0,12000000,12000000,12,2,0,1,0,0,2,665.5,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,115,1,2,1,11,0,20.81818182,14,0,0,1470.642857,337,67,0,0,133.5,0,0,151.5,0,0,376.625,0,0,81,0,1,96,0,0,187.5,2.961376981,0.057128664,14376000,11.160699,0.574122868,16.68652466,17654912
65,1,1500000,1500000,14,1,0,1,0,0,1,400,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,92,1,1,1,6,2,32.33333333,9,0,0,361.4444444,264,12,0,0,379,0,0,606,0,0,986,0,0,81,0,0,363,0,0,589,0.379540826,0.046277666,2472000,8.822276,0.460773323,16.2841286,11806119
66,0,12000000,12000000,8,2,0,1,0,0,2,517,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,108,1,1,1,2,0,200,16,0,0,1092.8125,80,12,0,0,379,0,0,555,0,0,1503,0,0,81,0,1,72,0,0,651,2.970223509,0.053731343,15024000,5.145185,0.266457318,12.23047741,204940
67,0,37216150,0,5,1,0,0,0,0,3,140.6666667,3,1,8.666666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,133,0,2,0,5,1,24.6,7,0,0,333.5714286,337,5,0,0,379,0,0,606,0,0,800.5,0,0,81,0,0,363,0,0,681,9.184254161,0.066070541,0,6.303552,0.32426404,11.94549329,154120
68,0,2000000,2000000,5.5,2,0,1,0,0,1,196,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,129,1,1,0,17,1,32.58823529,55,0,0,237.4545455,279,34,0,0,126.3333333,0,0,606,0,0,400.25,0,1,75,0,0,338,0,0,319.5,0.470384144,0.062560621,632000,14.284787,1.468589552,16.39039859,13129846
69,1,85000000,85000000,8.25,4,1,1,0,0,1,196,2,0,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,104,1,2,1,9,0,13.77777778,56,0,0,34.33928571,337,57,0,1,36,0,0,147.6666667,0,1,281.7142857,1,1,81,1,1,9,0,2,45.42857143,21.12307146,0.051844467,112540000,2.238808,0.130155678,18.88106509,158468292
70,0,29000000,29000000,9.75,4,0,1,0,0,7,297.2857143,2,1,4.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,103,1,1,1,18,2,6.944444444,22,0,0,989.4545455,289,20,0,0,379,0,0,132.5555556,0,0,348.4166667,0,0,81,0,0,141,0,0,450,7.213885486,0.051371571,38918000,12.092096,0.659540384,16.86602577,21126225
71,0,23042782.81,0,5,1,1,0,0,0,8,136.125,8,0,8.625,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,126,0,2,1,13,1,30.76923077,13,0,0,579.3846154,337,11,0,0,379,0,0,606,0,0,800.5,0,1,67,0,0,363,0,0,511,5.737721865,0.062874251,0,7.667491,0.355710306,16.63428922,16756372
