id,belongs_to_collection,original_budget,budget_processed,genre_rank,num_genres,has_homepage,originally_english,topStudio,numTopStudios,num_studios,studioRank,num_production_countries,topCountry,countryRank,usa_produced,release_date,1960s,1970s,1980s,1990s,2000s,2010s,mondayRelease,tuesdayRelease,wednesdayRelease,thursdayRelease,fridayRelease,saturdayRelease,sundayRelease,Winter,Fall,Spring,Summer,runtime_processed,spoken_english,num_languages,has_tagline,num_keywords,numTopKeywords,keywordRank,cast_num,topLeadActor,numTopActors,actorRanks,topActorRank,crew_num,topLeadDirector,numTopDirectors,directorsRank,topLeadExecProd,numTopExecProd,execProdRank,topLeadProducer,numTopProducers,producersRank,topLeadComposer,numTopComposers,composersRank,topLeadDirectorPhoto,numTopDirectorsPhoto,directorsPhotoRank,topLeadEditor,numTopEditors,editorsRank,budget_to_year_ratio,runtime_to_year_ratio,inflationBudget,popularity,popularity_year_ratio,log_revenue,revenue,log_budget,season,month,year,day_of_week,week_of_year,_budget_runtime_ratio,_budget_popularity_ratio,day
11,1,1000000,1000000.0,5.0,1,0,1,0,0,1,496.0,1,1,3.0,1,11/21/76,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,119,1,1,1,15,3,0.933333333,35,0,0,440.0285714,107,31,0,0,70.33333333,0,0,606.0,0,0,365.3333333,0,1,24.0,0,0,185.0,0,0,213.6,0.256109754,0.060222672,1864000.0,14.774066,0.755560657,18.57969229,117235147.0,13.815511557963774,3,11,1976,7,47,8403.361344537816,67686.17386709928,21
12,1,0,29217342.0,10.0,1,0,1,0,0,4,580.25,1,1,3.0,1,7/10/87,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,98,1,1,1,6,1,3.0,14,0,0,867.9285714,337,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,7.400225776,0.049320584,0.0,10.54375,0.701749854,16.93531865,22642033.0,17.190273029283098,2,7,1987,5,28,298136.14285714284,2771057.9253112036,10
13,0,15000000,15000000.0,5.0,1,1,1,1,0,2,151.5,1,1,3.0,1,9/15/99,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,122,1,1,1,21,6,5.0,40,0,0,383.825,143,107,0,1,8.5,0,0,606.0,0,0,220.5,1,1,13.0,0,0,151.0,0,0,65.66666667,3.753752814,0.061030515,21750000.0,20.726578,1.149195686,19.69127409,356296601.0,16.52356082573315,3,9,1999,3,37,122950.81967213115,723708.4674566154,15
14,1,53000000,53000000.0,8.0,2,0,1,0,0,4,437.5,1,1,3.0,1,2003/4/5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,118,1,2,1,8,0,50.0,58,0,0,373.0,119,18,0,1,69.0,0,0,35.0,0,0,468.7142857,1,1,7.0,0,1,91.0,0,0,351.0,13.18399761,0.058852868,71126000.0,13.314233,0.726199523,18.3717648,95226116.0,17.78580249038432,1,4,2003,6,14,449152.5423728814,3980702.4557854743,5
15,0,102000000,102000000.0,12.25,4,0,1,1,1,7,82.57142857,1,1,3.0,1,6/20/02,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,145,1,2,1,9,5,6.777777778,23,1,0,504.7391304,13,152,0,1,7.0,0,0,303.0,0,0,125.4,1,1,1.5,0,1,17.0,0,1,14.83333333,25.4490764,0.072427572,142392000.0,20.666063,1.10891538,19.6970847,358372926.0,18.440483381052466,2,6,2002,4,25,703448.275862069,4935628.039070625,20
16,0,500000,500000.0,8.333333333,3,1,0,0,0,1,400.0,1,0,100.0,0,2010/6/10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,97,0,1,1,2,0,200.0,12,0,0,648.9166667,337,25,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,340.5,0.123759313,0.048258706,626000.0,1.018477,0.052744586,12.16974574,192864.0,13.122365377402328,3,6,2010,4,23,5154.639175257732,490929.10296452447,10
17,0,26000000,26000000.0,7.5,2,0,1,1,0,3,301.3333333,1,1,3.0,1,2008/4/5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,85,1,2,1,4,3,27.0,24,0,0,382.125,337,35,0,0,265.0,0,0,26.75,0,0,447.1666667,0,1,32.0,0,0,110.0,0,0,295.3333333,6.46762147,0.042394015,34892000.0,6.336927,0.345635634,17.87408638,57891803.0,17.073607134447293,2,4,2008,6,14,305882.35294117645,4102935.066160617,5
18,0,0,8178423.25,7.0,2,0,1,0,0,4,202.0,1,1,4.0,0,12/25/13,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,111,1,1,1,2,1,19.0,19,0,0,780.1052632,133,30,0,0,189.5,0,0,606.0,0,0,218.6666667,0,0,81.0,0,0,150.0,0,0,340.5,2.018282863,0.05514158,0.0,4.183558,0.215208413,14.02597811,1234254.0,15.917010055548198,4,12,2013,3,52,73679.48873873874,1954896.5856335685,25
19,0,8000000,8000000.0,9.5,2,0,1,0,0,4,350.75,3,0,11.66666667,0,2002/2/11,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,96,1,2,1,7,1,5.571428571,23,0,0,811.0434783,337,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,1.978180178,0.047737444,9872000.0,6.496259,0.337338507,14.37481658,1749457.0,15.894952224644102,4,2,2002,1,7,83333.33333333333,1231477.9937191543,11
20,1,32000000,32000000.0,9.333333333,3,0,1,0,0,7,361.0,1,0,14.0,0,2008/2/5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,87,1,3,1,5,2,16.2,10,0,0,505.5,153,17,0,1,36.0,0,0,606.0,0,0,266.1666667,0,0,81.0,0,1,42.5,0,0,125.0,7.960149502,0.043391521,42944000.0,11.359659,0.619591,18.26013211,85167639.0,17.281246492014,2,2,2008,2,6,367816.091954023,2816985.9676245563,5
21,0,80000000,80000000.0,17.66666667,3,0,1,0,0,4,54.75,1,1,3.0,1,4/3/98,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,1,1,1,3,1,133.3333333,20,0,0,586.0,169,119,0,0,59.2,0,0,94.0,0,0,14.86666667,0,1,64.0,0,0,268.0,0,0,49.25,20.04006008,0.065065065,117440000.0,12.000579,0.671828881,18.72933699,136159423.0,18.197537205138154,1,4,1998,5,14,615384.6153846154,6666345.015519667,3
22,1,4000000,4000000.0,7.5,2,0,1,0,0,2,121.0,1,1,3.0,1,8/13/82,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,1,1,1,9,4,13.11111111,15,0,0,476.6,337,11,0,0,304.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,1.018245949,0.047931382,7024000.0,7.99229,0.507629643,17.41801665,36690067.0,15.201805169084134,2,8,1982,5,32,42105.26315789474,500482.3398550353,13
23,1,0,74174.33333,7.5,2,1,1,0,0,3,335.0,1,1,3.0,1,7/28/12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,116,1,1,1,13,1,30.76923077,30,0,0,259.5666667,337,19,0,0,78.8,0,0,606.0,0,0,533.6666667,0,0,81.0,0,0,363.0,0,0,681.0,0.018323047,0.057654076,0.0,7.820787,0.409003268,11.51637949,100345.0,11.21418693898108,2,7,2012,6,30,639.4339080172414,9484.254376190016,28
24,0,0,17011.0,6.333333333,3,1,1,0,0,3,133.3333333,1,1,3.0,1,2009/2/11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,92,1,1,1,0,0,400.0,19,0,0,725.7368421,337,10,0,0,379.0,0,0,606.0,0,0,800.5,0,0,40.5,0,0,363.0,0,0,681.0,0.004206353,0.045748384,0.0,1.323333,0.068718193,9.741674256,17011.0,9.741674256373525,3,2,2009,3,7,184.90217391304347,12854.66318757259,11
25,0,0,3586142.25,8.5,2,1,1,0,0,2,515.5,1,1,100.0,0,2009/9/6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,87,1,3,1,3,0,133.3333333,13,0,0,599.0,337,10,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,0.891180459,0.04336989,0.0,7.434577,0.432217685,15.41443702,4947717.0,15.092587879365528,3,9,2009,7,36,41220.025862068964,482359.958071589,6
26,0,0,38059540.25,9.0,4,0,1,0,0,4,128.25,2,0,7.0,1,10/23/92,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,95,1,1,1,0,0,400.0,15,0,0,834.5333333,337,14,0,0,379.0,0,0,606.0,0,0,523.3333333,0,0,81.0,0,0,363.0,0,0,100.0,9.591463306,0.047690763,0.0,1.252367,0.062746899,15.94415099,8403433.0,17.4546623664228,3,10,1992,5,43,400626.7394736842,30390085.534032755,23
27,0,10000000,10000000.0,7.5,4,0,1,0,0,4,166.75,1,1,3.0,1,9/8/97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,110,1,1,1,4,1,11.5,6,0,0,3821.833333,178,18,0,0,379.0,0,0,303.0,0,0,622.0,0,0,81.0,0,0,130.0,0,0,405.0,2.507516909,0.055082624,14860000.0,4.305735,0.243213016,16.44272164,13835130.0,16.118095750958314,3,9,1997,1,37,90909.09090909091,2322483.8500279277,8
28,0,11000000,11000000.0,8.0,3,0,1,0,0,3,133.3333333,2,1,14.0,0,2009/7/13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,93,1,1,1,3,2,31.66666667,24,1,0,661.8333333,6,15,0,0,360.0,0,0,606.0,0,0,320.2,0,0,81.0,0,0,193.0,0,0,681.0,2.714595566,0.046199702,13178000.0,10.841891,0.557722912,15.87564198,7847000.0,16.213405921671733,3,7,2009,1,29,118279.56989247311,1014583.1571263721,13
29,0,6000000,6000000.0,17.0,1,0,1,0,0,4,199.75,1,1,3.0,1,8/8/86,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,84,1,2,1,6,0,66.66666667,33,0,0,519.5757576,337,18,0,0,379.0,0,0,303.0,0,0,200.125,0,0,81.0,0,0,363.0,0,0,681.0,1.521222576,0.042296073,10104000.0,6.759181,0.48321038,15.58189205,5849647.0,15.607270193858982,2,8,1986,5,32,71428.57142857143,887681.5105262013,8
30,0,45000000,45000000.0,11.75,4,0,1,0,0,1,242.0,1,1,3.0,1,2004/7/2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,89,1,1,1,4,3,37.5,11,0,0,1064.454545,54,8,0,0,191.0,0,0,606.0,0,0,729.0,1,1,20.0,0,1,32.0,0,0,389.0,11.22753371,0.044455544,62820000.0,7.81862,0.419537479,18.36871106,94935764.0,17.622173069956816,1,7,2004,5,27,505617.9775280899,5755491.3782739155,2
31,0,13000000,13000000.0,7.5,2,0,0,0,0,8,269.25,1,0,14.0,0,2011/2/11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,112,1,2,1,7,2,7.428571429,32,0,0,17.875,337,34,0,0,75.8,0,0,606.0,0,0,533.6666667,0,0,81.0,0,0,363.0,0,0,340.5,3.214542789,0.055693685,16042000.0,16.086919,0.835363436,19.87107808,426480871.0,16.380459992348886,3,2,2011,5,6,116071.42857142857,808109.9929700646,11
32,0,0,20997011.27,8.0,3,1,0,0,0,15,82.86666667,5,0,13.0,1,2005/2/5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,117,0,1,0,15,2,7.133333333,14,0,0,911.3571429,337,18,0,0,379.0,0,0,202.0,0,0,200.125,0,0,81.0,0,0,363.0,0,0,340.5,5.223104649,0.058354115,0.0,5.69586,0.310669853,17.39902952,36000000.0,16.85989071270881,1,2,2005,6,5,179461.63478632478,3686363.6518453755,5
33,0,90000000,90000000.0,16.0,3,1,1,1,0,7,61.0,1,1,3.0,1,10/21/15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,106,1,1,1,4,2,26.25,22,1,0,366.0909091,10,92,0,0,379.0,0,0,606.0,0,1,151.1111111,0,0,81.0,0,1,71.0,0,1,26.83333333,22.16625926,0.052605459,104580000.0,13.412445,0.67105057,18.80551388,146936910.0,18.31532023940565,3,10,2015,3,43,849056.6037735849,6710185.9504363295,21
34,1,0,123059.0,7.0,1,0,1,0,0,3,133.3333333,5,1,4.6,1,2010/2/14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,125,1,7,1,4,1,2.75,31,0,0,251.1935484,337,59,0,0,12.63333333,0,0,606.0,0,0,177.8888889,0,0,40.5,0,0,363.0,0,0,681.0,0.030338524,0.062065541,0.0,8.254856,0.342070332,11.72042732,123059.0,11.720427320294482,3,2,2010,7,6,984.472,14907.467798348027,14
35,1,140000000,140000000.0,9.5,4,0,1,0,0,1,219.0,1,1,3.0,1,2008/8/7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,91,1,5,1,1,0,400.0,18,0,0,464.6666667,337,18,0,1,77.0,0,0,606.0,0,0,472.0,0,1,34.0,0,0,363.0,0,0,213.0,34.75628027,0.045341305,182840000.0,9.718111,0.504318199,19.36855632,258022233.0,18.757152987716434,2,8,2008,4,32,1538461.5384615385,14406091.883494642,7
36,0,30000000,30000000.0,9.333333333,3,1,1,0,0,5,451.0,1,1,3.0,1,4/16/12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,94,1,3,1,1,0,400.0,14,0,0,1117.857143,153,33,0,0,285.0,0,0,319.25,0,0,463.375,0,1,61.0,0,0,183.0,0,0,78.0,7.410803568,0.046719682,36480000.0,8.234382,0.430633023,17.51300745,40346186.0,17.216707972959764,1,4,2012,1,16,319148.93617021275,3643260.659998528,16
37,0,0,27578144.5,9.5,2,0,1,0,0,3,327.0,3,0,8.666666667,1,1/28/00,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,105,1,1,1,14,6,16.71428571,14,0,0,782.7142857,171,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,6.894536125,0.0525,0.0,2.100499,0.108322499,11.92873687,151559.0,17.132534187314498,4,1,2000,5,4,262648.99523809523,13129329.98301832,28
38,0,50000000,50000000.0,10.75,4,0,1,0,0,4,422.5,1,1,3.0,1,3/10/95,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,127,1,3,1,8,2,16.125,14,0,0,910.8571429,101,13,0,1,75.0,0,1,34.5,0,0,309.25,1,1,12.0,0,0,118.0,0,1,241.3333333,12.56273516,0.063659148,76100000.0,13.676444,0.793960909,19.0617952,189859560.0,17.72753358339242,1,3,1995,5,10,393700.7874015748,3655921.0859197024,10
39,0,0,12000000.0,8.0,1,1,1,0,0,0,400.0,0,0,100.0,0,9/13/13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,90,1,3,1,0,0,400.0,5,0,0,1557.4,337,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.961376981,0.044709389,0.0,0.32926,0.016937622,11.43064108,92100.0,16.300417291085605,3,9,2013,5,37,133333.33333333334,36445362.327643804,13
40,0,3800000,3800000.0,7.5,2,0,1,0,0,2,198.5,1,1,3.0,1,4/7/65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,123,1,3,0,5,1,13.2,14,0,0,779.2857143,253,12,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,289.0,0,0,227.0,0.891134966,0.059564165,995600.0,3.055936,0.596025271,9.607370001,14873.0,15.150511887854474,1,4,2065,2,15,30894.308943089432,1243481.5388803955,7
41,1,0,163000.0,7.5,2,1,1,0,0,1,400.0,1,1,3.0,1,4/26/06,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,118,1,1,1,2,1,33.5,6,0,0,1297.833333,337,1,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,0.040506596,0.058823529,0.0,2.941626,0.171014811,12.00151161,163000.0,12.001511614739405,1,4,2006,3,17,1381.3559322033898,55411.530901617,26
42,0,3000000,3000000.0,5.5,2,0,1,0,0,2,133.5,1,1,3.0,1,6/22/67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,126,1,1,1,12,3,5.666666667,32,0,0,498.625,259,27,0,0,189.5,0,0,606.0,0,0,338.0,0,1,34.0,0,0,151.0,0,0,681.0,0.702166817,0.06095791,678000.0,9.718713,1.560545659,16.60161836,16217773.0,14.914123179965662,2,6,2067,3,25,23809.52380952381,308682.84720415145,22
43,0,25000000,25000000.0,10.0,1,0,1,0,0,2,351.5,1,1,3.0,1,3/3/00,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,108,1,2,1,10,5,9.4,11,0,0,1084.0,242,12,0,0,379.0,0,0,606.0,0,0,307.6666667,0,0,81.0,0,0,203.0,0,0,212.0,6.25,0.054,35800000.0,2.971999,0.153265656,17.00856683,24362772.0,17.034386422832473,1,3,2000,5,9,231481.4814814815,8411846.706543308,3
44,0,6000000,6000000.0,5.0,1,0,1,0,0,3,259.3333333,1,1,3.0,1,2009/5/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,92,1,1,1,5,2,24.8,32,0,0,500.40625,166,12,0,0,379.0,0,0,606.0,0,0,268.0,0,0,81.0,0,0,363.0,0,0,681.0,1.47921846,0.045680238,7080000.0,9.383088,0.388822776,13.8362167,1020921.0,15.607270193858982,3,5,2009,4,20,65217.391304347824,639448.3351323146,14
45,0,15000000,15000000.0,9.5,2,1,1,0,0,3,88.0,1,1,3.0,1,2002/4/5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,88,1,1,1,6,3,25.5,10,0,0,1260.7,337,12,0,0,379.0,0,0,606.0,0,0,200.75,0,0,81.0,0,0,363.0,0,0,681.0,3.731320079,0.043890274,20130000.0,5.615303,0.306276025,17.66937548,47175038.0,16.52356082573315,4,4,2002,5,14,170454.54545454544,2671271.70163391,5
46,0,3906840,3906840.0,7.8,5,0,0,0,0,2,832.0,1,0,17.0,0,2010/9/9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,95,0,2,1,11,6,26.72727273,15,0,0,474.6,337,7,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,309.0,0,0,681.0,0.967978591,0.047287208,4961686.8,2.382068,0.118494599,15.27412581,4300000.0,15.178239677022763,3,9,2010,4,36,41124.63157894737,1640104.3127232306,9
47,1,80000000,80000000.0,16.0,4,1,1,1,2,2,23.0,1,1,3.0,1,3/23/06,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,91,1,1,1,11,1,36.36363636,42,1,1,167.3809524,5,10,1,1,11.0,0,0,606.0,1,1,45.0,1,1,7.0,0,0,363.0,0,0,681.0,19.88053785,0.045363908,105920000.0,16.646029,0.967736043,20.3091748,660940780.0,18.197537205138154,1,3,2006,4,12,879120.8791208791,4805951.016906194,23
48,0,44000000,44000000.0,6.0,4,1,1,0,0,3,410.0,1,1,3.0,1,12/25/15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,167,1,2,1,8,2,20.625,18,0,0,651.6666667,239,76,0,1,45.5,0,0,209.3333333,0,0,328.1,0,1,65.0,0,1,69.0,0,1,80.4,10.83683786,0.082878412,51128000.0,20.328822,1.017090291,18.86382768,155760117.0,17.599700214609808,4,12,2015,5,52,263473.0538922156,2164414.642422468,25
49,0,0,6861102.0,7.5,2,0,1,0,0,1,790.0,1,1,3.0,1,3/24/17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94,1,1,0,8,2,21.125,44,0,0,174.0,257,31,0,0,189.5,0,0,606.0,0,0,776.0,0,0,81.0,0,0,280.0,0,0,681.0,1.686483433,0.046603867,0.0,8.984386,0.266567649,13.39078923,653951.0,15.741378773949208,1,3,2017,5,12,72990.44680851063,763669.5484811093,24
50,1,38000000,38000000.0,14.25,4,0,1,0,0,1,242.0,1,1,3.0,1,11/17/94,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,118,1,1,1,5,2,31.4,17,0,0,638.1764706,58,15,0,0,379.0,0,0,272.0,0,0,283.0,0,0,81.0,0,0,246.0,0,0,398.0,9.55725753,0.059177533,58520000.0,8.105708,0.436705696,18.60300231,120000000.0,17.453096744006448,3,11,1994,4,46,322033.89830508473,4688054.393274467,17
51,0,560000,560000.0,8.0,3,1,0,0,0,0,400.0,1,0,24.0,0,1/30/08,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,102,0,1,0,10,2,11.0,9,0,0,865.2222222,337,2,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,0.138886684,0.050796813,721280.0,1.572904,0.075966655,14.22097633,1500000.0,13.235693848424024,4,1,2008,3,5,5490.196078431372,356029.35716356494,30
52,0,12000000,12000000.0,14.5,2,0,1,0,0,1,267.0,1,1,3.0,1,7/1/65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,160,1,2,1,5,0,80.0,16,0,0,2224.1875,273,6,0,0,337.0,0,0,606.0,0,0,1601.0,0,1,77.0,0,0,338.0,0,0,555.0,2.814110419,0.07748184,3144000.0,4.473327,0.87247113,17.04763164,25333333.0,16.300417291085605,2,7,2065,3,27,75000.0,2682567.1362723983,1
53,0,0,40356000.0,18.5,2,0,1,0,0,1,388.0,1,1,3.0,1,6/24/80,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,97,1,1,1,5,0,80.0,13,0,0,563.2307692,337,7,0,0,379.0,0,0,606.0,0,0,800.5,0,0,81.0,0,0,363.0,0,0,681.0,10.29384757,0.048989899,0.0,1.012665,0.070687074,16.21340592,11000000.0,17.51325066528987,2,6,1980,2,26,416041.23711340205,39851283.49454163,24
